official_id,prcp (mm/day),high_prcp_freq (fraction),low_prcp_freq (fraction),high_prcp_duration (days),low_prcp_duration (days),tmax (degrees c),tmin (degrees c),vp (pa),pet (mm/day),swe (kg/m2),srad (w/m2),dayl (s),region,drainage_area_km2,centroid_lon_deg_e,centroid_lat_deg_n,logk_ice_x100,porosity_x100,land_use_forest_frac_2010,land_use_shrubs_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_crops_frac_2010,land_use_urban_frac_2010,land_use_water_frac_2010,land_use_snow_ice_frac_2010,lulc_check_2010,land_use_forest_frac_2015,land_use_shrubs_frac_2015,land_use_grass_frac_2015,land_use_wetland_frac_2015,land_use_crops_frac_2015,land_use_urban_frac_2015,land_use_water_frac_2015,land_use_snow_ice_frac_2015,lulc_check_2015,land_use_forest_frac_2020,land_use_shrubs_frac_2020,land_use_grass_frac_2020,land_use_wetland_frac_2020,land_use_crops_frac_2020,land_use_urban_frac_2020,land_use_water_frac_2020,land_use_snow_ice_frac_2020,lulc_check_2020,slope_deg,aspect_deg,elevation_m,n_daymet_concurrent_hyd_years,mean_annual_uar_hyd,mean_annual_log_uar_hyd,median_annual_uar_hyd,median_annual_log_uar_hyd,stdev_annual_uar_hyd,stdev_annual_log_uar_hyd,mad_annual_uar_hyd,mad_annual_log_uar_hyd,min_nonzero_uar,max_uar,min_nonzero_discharge,max_discharge,active
05BB001,2.2179999351501465,0.0415,0.5974,1.318,3.897,3.768976,-7.041782,418.68457,1.772222,178.29247,296.84308,43200.184,ERK,2210.5,-116.010586954251,51.3602361379286,-1396.83,13.99387,0.51,0.04,0.35,0.01,0.01,0.01,0.02,0.05,0.0,0.5,0.04,0.38,0.01,0.01,0.01,0.02,0.03,0.0,0.49,0.04,0.39,0.01,0.01,0.01,0.01,0.02,0.02,19.713493,96.7822306286978,2140.7561,44,17.532838821411133,2.330687999725342,7.693721771240234,2.0404045581817627,19.990781784057617,1.000948786735535,15.117382049560549,0.8798072338104248,1.8736475706100464,210.89849853515625,4.139999866485596,466.0,True
05BF016,2.361999988555908,0.0596,0.6996,1.556,5.023,5.204626,-6.9039583,434.4967,1.8772584,149.15573,307.30573,43200.184,ERK,9.3,-115.188841697707,50.9598803367563,-1520.0,19.0,0.67,0.07,0.24,0.01,0.01,0.0,0.0,0.0,0.0,0.66,0.08,0.24,0.01,0.01,0.0,0.0,0.0,0.0,0.62,0.09,0.27,0.01,0.01,0.0,0.0,0.0,0.0,19.819534,92.5297753104296,2126.5452,8,13.433808326721191,1.7646105289459229,4.403298377990723,1.482353925704956,21.75098419189453,1.219976782798767,13.868839263916016,1.0321110486984253,0.2201649099588394,254.2904663085937,0.0020000000949949,2.309999942779541,False
05BF017,2.4730000495910645,0.06,0.6994,1.578,5.017,4.504013,-7.46126,419.81592,1.8535154,188.59938,313.3854,43200.184,ERK,3.2,-115.198247635346,50.961738913854,-1520.0,19.0,0.44,0.09,0.44,0.01,0.02,0.0,0.0,0.0,0.0,0.44,0.09,0.43,0.01,0.02,0.0,0.0,0.0,0.01,0.39,0.12,0.45,0.02,0.02,0.0,0.0,0.0,0.0,23.171326,111.179892886141,2269.3518,7,15.347636222839355,1.715327262878418,4.210526466369629,1.4375877380371094,25.22052955627441,1.3998340368270874,16.877761840820312,1.1880204677581787,0.3508771955966949,243.5087738037109,0.0010000000474974,0.6940000057220459,False
05BF018,2.374000072479248,0.0595,0.6996,1.56,5.027,5.112414,-6.9648213,432.5276,1.8729705,145.78038,309.92398,43200.184,ERK,3.0,-115.193715060986,50.9525630607552,-1520.0,19.0,0.74,0.05,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.04,0.22,0.0,0.0,0.0,0.0,0.0,0.01,0.64,0.07,0.27,0.0,0.01,0.0,0.0,0.0,0.01,19.789234,51.6288861961688,2160.4885,7,16.268396377563477,1.7850947380065918,4.545454502105713,1.5141277313232422,29.23527336120605,1.3622294664382937,17.9697208404541,1.1168501377105713,0.0378787852823734,309.8484802246094,9.999999747378752e-05,0.8180000185966492,False
05BF019,2.263999938964844,0.0599,0.7004,1.557,5.02,5.897125,-6.361823,448.60922,1.8987515,105.55853,300.32156,43200.184,ERK,2.2,-115.179146309961,50.9684270034217,-1520.0,19.0,0.77,0.11,0.1,0.01,0.01,0.0,0.0,0.0,0.0,0.77,0.11,0.1,0.01,0.01,0.0,0.0,0.0,0.0,0.76,0.09,0.13,0.01,0.01,0.0,0.0,0.0,0.0,18.397602,122.265717006108,2039.864,6,10.711502075195312,1.5831555128097534,3.773585081100464,1.328025460243225,17.84125328063965,1.184321641921997,10.72108268737793,0.9861032366752625,0.471698135137558,226.8868103027344,0.0010000000474974,0.481000006198883,False
05BF020,2.618000030517578,0.0595,0.6991,1.58,5.017,3.49529,-8.256221,399.02197,1.8265929,256.75455,328.38635,43200.184,ERK,1.3,-115.21040157579,50.9591787279296,-1520.0,19.0,0.26,0.15,0.54,0.02,0.03,0.0,0.0,0.0,0.0,0.27,0.16,0.53,0.02,0.02,0.0,0.0,0.0,0.0,0.16,0.12,0.67,0.03,0.02,0.0,0.0,0.0,0.0,22.923607,92.9385456505322,2438.2671,0,18.417604446411133,0.5696731805801392,1.7094017267227173,0.53614342212677,37.8098030090332,2.5449111461639404,24.29813003540039,2.2123210430145264,0.0854700803756713,338.4615478515625,9.999999747378752e-05,0.3959999978542328,False
05BG002,2.4570000171661377,0.0572,0.6696,1.512,4.655,4.1157756,-7.5442266,416.63168,1.8023942,168.34978,305.99387,43200.184,ERK,212.4,-115.356392707848,51.3447581704532,-1520.0,19.0,0.39,0.03,0.55,0.01,0.01,0.0,0.0,0.0,0.0099999999999998,0.39,0.03,0.55,0.01,0.01,0.0,0.0,0.0,0.0099999999999998,0.32,0.04,0.6,0.02,0.02,0.0,0.0,0.0,0.0,25.257328,132.286233485577,2209.2268,0,15.025806427001951,1.9926642179489136,4.834123134613037,1.575699806213379,22.072751998901367,1.1223461627960205,14.805059432983398,0.9699180722236632,1.6113743782043457,378.6729736328125,0.3400000035762787,79.9000015258789,False
05BG006,1.963000059127808,0.0582,0.6975,1.534,5.11,7.101401,-5.5610456,466.39157,1.9432778,61.71091,288.11624,43200.184,ERK,333.9,-115.094935317336,51.3669885438424,-1550.06,17.38127,0.73,0.06,0.2,0.0,0.0,0.0,0.0,0.0,0.01,0.71,0.06,0.22,0.0,0.0,0.0,0.0,0.0,0.01,0.62,0.15,0.21,0.01,0.01,0.0,0.0,0.0,0.0,10.819621,95.5487059664654,1710.1625,43,6.396799564361572,1.275637984275818,3.368225574493408,1.2143861055374146,11.812110900878906,1.0211929082870483,5.395646572113037,0.8286078572273254,0.1172864288091659,601.4688720703125,0.0390000008046627,200.0,True
05BH015,1.75600004196167,0.0553,0.7144,1.47,5.332,8.832136,-4.0868244,510.10803,2.0388877,29.152609,279.95837,43200.184,ERK,475.3,-114.765674165179,51.0358986423316,-1249.97,5.91994,0.62,0.1,0.11,0.01,0.15,0.0,0.0,0.0,0.01,0.62,0.1,0.11,0.01,0.15,0.0,0.0,0.0,0.01,0.44,0.37,0.14,0.01,0.02,0.0,0.0,0.0,0.02,7.5932846,54.2410934579884,1508.8853,16,4.1302595138549805,0.4345558583736419,1.3771491050720217,0.3200151920318603,10.975945472717283,1.3086165189743042,4.435088157653809,1.0357500314712524,0.0232163071632385,303.9225769042969,0.0109999999403953,144.0,True
05BJ004,2.2219998836517334,0.0577,0.6905,1.478,5.011,6.3740487,-5.8886824,462.7005,1.9198298,104.88076,295.46207,43200.184,ERK,793.9,-114.85841172229,50.8223601647754,-1495.13,16.22432,0.6,0.05,0.31,0.01,0.02,0.0,0.0,0.0,0.01,0.6,0.06,0.32,0.01,0.02,0.0,0.0,0.0,-0.01,0.5,0.11,0.35,0.01,0.01,0.0,0.0,0.0,0.02,18.188053,63.112709338639,1937.1597,43,10.41043472290039,2.0220985412597656,6.600679397583008,1.88717257976532,13.660595893859863,0.716044545173645,6.914684772491455,0.5674139261245728,1.002746820449829,747.3182983398438,0.7929999828338623,591.0,True
