official_id,prcp (mm/day),high_prcp_freq (fraction),low_prcp_freq (fraction),high_prcp_duration (days),low_prcp_duration (days),tmax (degrees c),tmin (degrees c),vp (pa),pet (mm/day),swe (kg/m2),srad (w/m2),dayl (s),region,drainage_area_km2,centroid_lon_deg_e,centroid_lat_deg_n,logk_ice_x100,porosity_x100,land_use_forest_frac_2010,land_use_shrubs_frac_2010,land_use_grass_frac_2010,land_use_wetland_frac_2010,land_use_crops_frac_2010,land_use_urban_frac_2010,land_use_water_frac_2010,land_use_snow_ice_frac_2010,lulc_check_2010,land_use_forest_frac_2015,land_use_shrubs_frac_2015,land_use_grass_frac_2015,land_use_wetland_frac_2015,land_use_crops_frac_2015,land_use_urban_frac_2015,land_use_water_frac_2015,land_use_snow_ice_frac_2015,lulc_check_2015,land_use_forest_frac_2020,land_use_shrubs_frac_2020,land_use_grass_frac_2020,land_use_wetland_frac_2020,land_use_crops_frac_2020,land_use_urban_frac_2020,land_use_water_frac_2020,land_use_snow_ice_frac_2020,lulc_check_2020,slope_deg,aspect_deg,elevation_m,n_daymet_concurrent_hyd_years,mean_annual_uar_hyd,mean_annual_log_uar_hyd,median_annual_uar_hyd,median_annual_log_uar_hyd,stdev_annual_uar_hyd,stdev_annual_log_uar_hyd,mad_annual_uar_hyd,mad_annual_log_uar_hyd,min_nonzero_uar,max_uar,min_nonzero_discharge,max_discharge,active
08GA064,8.843000411987305,0.0376,0.5057,1.448,4.276,8.59078,1.1340401,719.5413,1.721023,105.0886,249.00034,43200.176,08G,42.3,-123.063073594526,49.6484158949008,-1441.99,6.23508,0.73,0.11,0.12,0.01,0.01,0.01,0.01,0.01,-0.01,0.73,0.11,0.12,0.01,0.01,0.0,0.01,0.01,0.0,0.83,0.06,0.07,0.01,0.01,0.0,0.01,0.0,0.01,28.864595,353.41184544335,1069.5184,2,93.05242919921876,4.038217067718506,50.49504852294922,3.921875238418579,110.63345336914062,0.9752420783042908,74.5324478149414,0.8202818036079407,4.207920551300049,1594.059326171875,0.1700000017881393,64.4000015258789,False
08GA065,7.453000068664551,0.0336,0.505,1.25,4.206,11.45112,4.2741942,880.37524,1.7772635,3.2557695,234.25822,43200.17,08G,2.7,-122.817629095637,49.3273722067002,-1052.0,0.0,0.85,0.05,0.02,0.0,0.0,0.07,0.0,0.0,0.01,0.84,0.06,0.02,0.0,0.0,0.07,0.01,0.0,0.0,0.86,0.04,0.02,0.01,0.0,0.07,0.0,0.0,0.0,10.685544,168.676451956318,678.4942,13,93.47006225585938,3.4104573726654053,32.81853485107422,3.49099349975586,167.46986389160156,1.6837018728256226,98.1334228515625,1.326101779937744,0.0386100374162197,3644.787841796875,9.999999747378752e-05,9.4399995803833,False
08GA071,5.257999897003174,0.0415,0.5229,1.35,3.98,6.505023,-0.7790573,633.01575,1.6438916,182.03505,253.83636,43200.18,08G,1215.2,-123.664902883355,50.3539242261814,-1361.62,0.91544,0.36,0.06,0.17,0.01,0.01,0.03,0.03,0.33,0.0,0.26,0.11,0.25,0.01,0.01,0.02,0.03,0.31,0.0,0.3,0.08,0.27,0.01,0.02,0.02,0.03,0.26,0.0099999999999998,26.026913,237.382564307358,1481.3002,41,88.2720718383789,4.003117084503174,56.75,4.038655757904053,82.2646713256836,1.0395103693008425,66.18348693847656,0.9130348563194276,4.708333492279053,925.0,5.650000095367432,1110.0,True
08GA072,5.348999977111816,0.0409,0.5298,1.309,3.989,5.8659325,-1.4055074,602.3746,1.6668518,250.718,270.69315,43200.176,08G,296.9,-122.883202814381,49.985820012,-1428.77,6.64208,0.4,0.07,0.16,0.01,0.01,0.03,0.05,0.28,-0.01,0.4,0.08,0.18,0.01,0.01,0.02,0.04,0.25,0.0099999999999998,0.44,0.07,0.21,0.01,0.01,0.02,0.05,0.19,0.0,24.75742,343.66674814879,1614.415,38,66.2956771850586,3.78689169883728,42.75000381469727,3.755369186401367,58.972747802734375,0.937111496925354,47.62487411499024,0.8201262950897217,5.251181602478027,875.1969604492188,1.559999942779541,260.0,True
08GA075,8.913999557495117,0.0382,0.4949,1.47,4.257,8.227738,0.7919581,702.66125,1.7240813,168.54068,256.05658,43200.176,08G,274.8,-122.929356674252,49.7103202654558,-1410.38,4.38345,0.67,0.1,0.09,0.01,0.01,0.01,0.02,0.09,0.0,0.66,0.12,0.11,0.01,0.01,0.01,0.02,0.07,-0.01,0.73,0.09,0.1,0.01,0.01,0.01,0.01,0.04,0.0,24.270601,267.159270505388,1171.2006,22,81.54013061523438,4.142167091369629,59.58047103881836,4.08732795715332,66.43641662597656,0.7055637240409851,48.04344177246094,0.5917049050331116,5.252952575683594,877.8424072265625,1.4900000095367432,249.0,True
08GA077,9.45300006866455,0.0352,0.4894,1.38,4.249,9.063194,1.6638004,745.49866,1.7220787,72.82748,243.52011,43200.176,08G,59.9,-123.032849321957,49.5588814146385,-1422.95,3.11866,0.82,0.1,0.06,0.0,0.01,0.0,0.0,0.0,0.01,0.82,0.1,0.06,0.0,0.01,0.0,0.0,0.0,0.01,0.92,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0099999999999998,28.872623,161.416559220251,946.48523,30,102.9094009399414,4.160091876983643,61.94428634643555,4.126235485076904,119.8436279296875,0.9843085408210754,77.31207275390625,0.7986598014831543,2.970149278640747,1575.6085205078125,0.1870000064373016,99.1999969482422,True
08GA079,9.788999557495115,0.0352,0.4873,1.371,4.228,9.223116,1.8594215,755.4883,1.7183781,65.222466,240.2119,43200.176,08G,82.0,-123.021986435776,49.5459022790413,-1422.24,3.00326,0.84,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.84,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.01,0.93,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0099999999999998,28.95278,139.664002277891,903.81268,26,105.21685791015624,4.12559175491333,63.66323852539063,4.153607368469238,144.5574188232422,1.044467806816101,81.38982391357422,0.8399872183799744,2.29091215133667,2688.807373046875,0.1899999976158142,223.0,True
08GB009,8.35200023651123,0.0256,0.5136,1.322,4.122,9.19438,1.126483,722.6399,1.7771516,99.70872,257.5192,43200.176,08G,23.4,-123.833301762628,49.7697289396297,-1460.06,9.19132,0.84,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.77,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.02,0.76,0.18,0.05,0.0,0.0,0.0,0.0,0.0,0.01,25.914734,235.505765463613,1058.7499,0,52.27427673339844,3.5396556854248047,36.26666641235352,3.5908989906311035,56.91070175170898,0.9350964426994324,36.24512481689453,0.7380659580230713,0.8888888955116272,800.0,0.0199999995529651,18.0,False
08GB013,6.656000137329102,0.042,0.516,1.316,4.109,7.586021,1.2916611,727.74176,1.5546026,72.40202,233.49231,43200.176,08G,146.2,-123.430863511405,49.8419490391766,-1435.75,5.21359,0.54,0.09,0.1,0.01,0.01,0.02,0.04,0.19,0.0,0.47,0.14,0.16,0.01,0.01,0.02,0.04,0.15,0.0,0.49,0.14,0.21,0.01,0.01,0.02,0.04,0.07,0.01,30.541185,224.294517761972,1191.1185,29,104.9733657836914,4.30797004699707,69.31466674804688,4.238656520843506,106.99485778808594,0.8115547895431519,70.09381103515625,0.6693642139434814,8.35853385925293,1433.8623046875,1.2300000190734863,211.0,True
08GC008,6.0980000495910645,0.0309,0.5134,1.262,4.038,10.214416,1.5559328,759.243,1.8016856,122.29183,240.19226,43200.176,08G,95.2,-124.522707927272,50.1691574685098,-1317.62,0.74195,0.82,0.1,0.06,0.0,0.01,0.0,0.0,0.0,0.01,0.78,0.12,0.08,0.0,0.01,0.0,0.0,0.0,0.01,0.74,0.17,0.07,0.01,0.01,0.0,0.0,0.0,0.0,29.047657,182.966559771916,827.84674,18,49.22201919555664,3.568403959274292,38.85164642333984,3.659750461578369,48.67405319213867,0.837090790271759,28.85898208618164,0.6463711857795715,1.797921895980835,804.9317016601562,0.1739999949932098,77.9000015258789,True
08GD004,2.6429998874664307,0.0385,0.5663,1.37,3.87,8.071871,-7.7568746,381.52884,2.169705,364.1835,308.3772,43200.188,08G,5689.2,-124.78995690073,51.4127236220487,-1302.35,1.76223,0.37,0.05,0.25,0.01,0.01,0.02,0.03,0.26,0.0,0.36,0.05,0.28,0.01,0.01,0.02,0.03,0.24,0.0,0.37,0.06,0.31,0.01,0.01,0.02,0.03,0.19,0.0,23.542107,0.357932200635467,1646.5306,41,47.99678039550781,3.3912389278411865,25.19237899780273,3.226541519165039,46.43514633178711,1.0029535293579102,38.290489196777344,0.8886562585830688,3.558643817901612,468.6134948730469,20.200000762939453,2660.0,True
08GD005,1.75600004196167,0.0565,0.7194,1.391,5.181,7.8553557,-7.9636254,355.969,2.1515763,156.06976,305.84726,43200.184,08G,1940.2,-124.505092819477,51.5230469528964,-1237.48,3.12177,0.49,0.05,0.26,0.01,0.01,0.02,0.04,0.12,0.0,0.48,0.05,0.29,0.01,0.01,0.02,0.04,0.11,-0.01,0.49,0.06,0.32,0.01,0.01,0.01,0.04,0.07,-0.01,20.536827,347.900136640298,1668.6056,7,21.272441864013672,2.58787488937378,10.76530647277832,2.376328706741333,21.392972946166992,0.969946563243866,16.967622756958008,0.8600842356681824,2.6020407676696777,209.1836700439453,5.099999904632568,410.0,False
08GD006,1.9520000219345093,0.0541,0.6988,1.402,4.915,7.7848353,-8.218826,357.1279,2.1519406,202.20464,305.87988,43200.188,08G,4120.8,-124.722908509524,51.5200952636225,-1261.36,2.0486,0.41,0.04,0.29,0.01,0.01,0.02,0.04,0.18,0.0,0.4,0.05,0.32,0.01,0.01,0.02,0.03,0.16,0.0,0.4,0.06,0.35,0.01,0.01,0.02,0.03,0.12,0.0,23.102581,13.3804493083509,1696.3525,7,32.23645782470703,2.9846270084381104,16.044227600097656,2.7753491401672363,31.47294807434082,1.002207636833191,26.315147399902344,0.898382842540741,3.5626535415649414,221.13021850585932,14.5,900.0,False
08GD007,2.026000022888184,0.0549,0.7011,1.366,4.941,7.5207067,-9.349309,334.18646,2.1840155,258.9961,311.93106,43200.188,08G,1533.7,-124.940548019349,51.6058905803508,-1228.6,1.08997,0.36,0.04,0.35,0.01,0.01,0.02,0.03,0.17,0.0099999999999998,0.36,0.04,0.39,0.01,0.01,0.02,0.03,0.15,-0.01,0.35,0.06,0.41,0.01,0.01,0.02,0.03,0.11,0.0,24.987852,20.1470614545755,1747.4623,12,31.46870803833008,2.8829574584960938,14.129032135009766,2.648231744766236,32.60486602783203,1.088148593902588,27.22015190124512,0.972586154937744,2.935483932495117,216.1290283203125,4.550000190734863,335.0,False
08GD008,1.347000002861023,0.0582,0.7432,1.348,5.475,8.841431,-7.77634,342.97528,2.2620385,97.66228,306.00876,43200.184,08G,495.1,-124.436377620543,51.7609062266125,-1070.4,0.194,0.75,0.06,0.15,0.01,0.01,0.01,0.02,0.01,-0.02,0.74,0.07,0.16,0.01,0.01,0.01,0.01,0.01,-0.02,0.78,0.06,0.13,0.0,0.0,0.0,0.01,0.0,0.02,10.013079,248.729669723005,1442.5646,40,3.57809853553772,0.9260886907577516,2.1591875553131104,0.7697319984436035,3.5688300132751465,0.8001970052719116,2.4947431087493896,0.6693740487098694,0.2570461332798004,45.24011993408203,0.125,22.0,True
08GE002,3.365000009536743,0.0331,0.5166,1.334,3.562,7.777776,-7.54696,395.5252,2.104036,552.65564,307.1574,43200.188,08G,5786.3,-125.476845677518,51.706340092568,-1273.2,0.84669,0.36,0.07,0.28,0.01,0.01,0.02,0.03,0.23,-0.01,0.35,0.07,0.31,0.01,0.01,0.02,0.02,0.21,0.0,0.35,0.08,0.33,0.01,0.01,0.02,0.03,0.17,0.0,21.280464,51.4013388593047,1523.7216,40,52.66367721557617,3.5020956993103027,30.106201171875,3.404731273651123,47.9391975402832,1.0032800436019895,40.58255386352539,0.8961169719696045,3.737321615219116,531.1841430664062,21.600000381469727,3070.0,True
08GE003,5.565000057220459,0.0308,0.5009,1.296,3.733,8.455843,-6.445439,455.3934,2.119278,1130.6218,300.67548,43200.184,08G,23.3,-125.725141481342,51.2044082959561,-1052.0,0.0,0.34,0.04,0.11,0.0,0.01,0.02,0.02,0.46,0.0,0.33,0.05,0.13,0.0,0.01,0.02,0.02,0.44,0.0,0.33,0.06,0.15,0.0,0.01,0.03,0.05,0.36,0.0099999999999998,29.730337,53.8475736538948,1465.2335,20,123.5114974975586,4.19921350479126,64.31562042236328,4.163802623748779,142.1004638671875,1.1649943590164185,104.21446228027344,1.0151821374893188,5.007122039794922,2274.787353515625,0.1159999966621398,52.70000076293945,True
08GF006,7.879000186920166,0.0347,0.52,1.389,4.072,9.335515,0.5724196,696.66174,1.7661679,278.32004,248.70389,43200.18,08F,37.1,-125.934869370846,50.7785985460561,-1410.0,1.0,0.89,0.02,0.07,0.01,0.01,0.0,0.0,0.0,0.0,0.81,0.04,0.13,0.01,0.01,0.0,0.0,0.0,0.0,0.83,0.09,0.06,0.01,0.01,0.0,0.0,0.0,0.0,27.687098,266.989034221252,800.40503,13,101.53865814208984,4.115316867828369,62.53603744506836,4.135743141174316,112.6968994140625,1.040137529373169,77.50938415527344,0.8593177199363708,2.490612745285034,1063.9248046875,0.0920000001788139,39.29999923706055,False
08GF007,8.060999870300293,0.0144,0.3873,1.184,3.542,9.450763,-2.614114,572.1877,1.9911329,766.02386,281.41266,43200.184,08F,698.6,-126.420114542224,51.2438739204382,-1397.9,1.6049,0.51,0.12,0.2,0.01,0.01,0.02,0.03,0.1,-2.2204460492503086e-16,0.49,0.13,0.23,0.01,0.01,0.01,0.02,0.08,0.02,0.45,0.1,0.3,0.01,0.02,0.02,0.03,0.07,-2.2204460492503086e-16,27.724785,234.171790283546,1003.619,15,109.86288452148438,4.2969231605529785,75.6288833618164,4.325838088989258,106.63336944580078,0.9336650371551514,75.47750091552734,0.7647693157196045,2.334755182266236,1489.6597900390625,1.6299999952316284,1040.0,True
08HA001,6.47599983215332,0.0385,0.5197,1.364,4.367,12.553482,3.788795,844.58496,1.965821,31.817015,239.32895,43200.168,VCI,351.2,-123.94561211015,48.8957520560994,-1105.36,0.95491,0.9,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.8,0.13,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.74,0.13,0.11,0.0,0.01,0.01,0.0,0.0,0.0,15.410635,116.658383399774,635.38464,44,52.97249603271485,2.93373966217041,26.67095184326172,3.2835750579833984,89.63740539550781,1.628821849822998,50.39089584350586,1.3567005395889282,0.2001731097698211,1513.9853515625,0.0710000023245811,537.0,True
08HA003,5.2129998207092285,0.0438,0.5334,1.464,4.499,13.085436,4.353122,844.2695,2.0091264,4.9332843,247.19232,43200.168,VCI,229.2,-123.815341858719,48.6663947715882,-1069.3,0.0,0.86,0.08,0.03,0.0,0.03,0.01,0.0,0.0,-0.01,0.77,0.14,0.05,0.01,0.03,0.01,0.0,0.0,-0.01,0.75,0.09,0.11,0.01,0.03,0.01,0.0,0.0,0.0,12.699973,85.9063890169528,457.41406,43,42.83645248413086,2.6006429195404053,16.87771224975586,2.8259940147399902,78.55064392089844,1.6434818506240845,44.3238639831543,1.411439299583435,0.4241519272327423,1232.6915283203125,0.096000000834465,279.0,True
08HA008,4.513000011444092,0.0442,0.545,1.389,4.463,13.903813,5.41508,892.9561,2.0211165,0.78037655,247.10068,43200.168,VCI,17.0,-123.779986057916,48.8072745782232,-1120.3,0.0,0.69,0.12,0.08,0.01,0.04,0.05,0.0,0.0,0.01,0.67,0.13,0.09,0.01,0.04,0.06,0.0,0.0,0.0,0.62,0.15,0.1,0.01,0.05,0.06,0.0,0.0,0.01,6.2827897,166.692753877404,221.20352,0,,,,,,,,,0.2027027010917663,682.4324340820312,0.003000000026077,10.100000381469728,False
08HA010,7.39900016784668,0.0413,0.4997,1.396,4.441,12.470591,3.8076487,841.5795,1.934364,9.042547,239.57732,43200.168,VCI,577.9,-124.135107353184,48.6426336178301,-1285.7,2.25668,0.88,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.14,0.05,0.0,0.0,0.0,0.0,0.0,0.02,0.74,0.16,0.09,0.0,0.0,0.0,0.0,0.0,0.01,20.204472,272.871310469383,536.04425,37,83.5317611694336,3.488943099975586,39.59341430664063,3.6786627769470215,134.8741912841797,1.471118450164795,80.48714447021484,1.2114372253417969,0.3112145960330963,1664.9981689453125,0.1800000071525573,963.0,True
08HA016,4.4079999923706055,0.045,0.5462,1.388,4.476,13.988666,5.4660306,892.4383,2.0274782,0.72273374,247.4625,43200.168,VCI,18.2,-123.777022751722,48.8058936914732,-1125.15,0.0,0.66,0.12,0.08,0.02,0.04,0.08,0.0,0.0,0.0,0.63,0.13,0.09,0.02,0.04,0.09,0.0,0.0,0.0,0.59,0.14,0.11,0.01,0.05,0.09,0.0,0.0,0.01,6.1826482,164.603831371049,210.62556,41,23.561559677124023,1.889573693275452,6.212785243988037,1.826609373092652,49.29008102416992,1.6626336574554443,26.24406242370605,1.4345611333847046,0.0994045659899711,1585.5028076171875,0.0020000000949949,31.89999961853028,True
08HA026,3.312999963760376,0.0474,0.5722,1.352,4.615,13.631522,5.822309,898.0545,1.9570504,0.43231195,243.82587,43200.168,VCI,8.4,-123.494860075932,48.824013836852,-1515.02,18.18454,0.68,0.14,0.09,0.02,0.03,0.02,0.03,0.0,-0.01,0.67,0.15,0.09,0.02,0.03,0.02,0.03,0.0,-0.01,0.7,0.12,0.1,0.02,0.02,0.02,0.03,0.0,-0.01,10.381314,64.5991341558851,210.50682,17,10.10981559753418,-0.0131864016875624,1.451612949371338,0.3726752698421478,19.59031867980957,2.802380084991455,12.076692581176758,2.4923346042633057,0.0080645158886909,238.70968627929688,9.999999747378752e-05,2.9600000381469727,False
08HA034,2.865000009536743,0.0462,0.6019,1.395,4.952,13.768204,6.3108788,872.56415,1.9496497,0.20200783,254.13403,43200.168,VCI,19.7,-123.475029761207,48.4948587436145,-1392.17,0.91747,0.8,0.07,0.05,0.01,0.01,0.06,0.0,0.0,-2.2204460492503086e-16,0.79,0.07,0.06,0.01,0.01,0.06,0.0,0.0,-2.2204460492503086e-16,0.83,0.04,0.06,0.01,0.01,0.05,0.0,0.0,0.0,9.2299557,153.092881603781,136.86693,0,23.119428634643555,1.501034140586853,3.1111111640930176,1.1349799633026123,40.32017135620117,1.9711447954177856,28.05231475830078,1.7525254487991333,0.007407406810671,582.9629516601562,9.999999747378752e-05,7.869999885559082,False
08HA064,3.130000114440918,0.0452,0.5954,1.407,5.035,13.375469,6.1510954,870.6943,1.8989643,0.18511899,251.45766,43200.168,VCI,3.9,-123.560598811641,48.4114450239887,-1271.46,5.53009,0.91,0.02,0.04,0.01,0.01,0.01,0.0,0.0,0.0,0.91,0.03,0.04,0.01,0.01,0.01,0.0,0.0,-0.01,0.82,0.05,0.09,0.02,0.01,0.0,0.0,0.0,0.01,10.974545,70.5280309072542,158.78036,2,25.01445579528809,1.0837867259979248,6.1712846755981445,1.8196988105773928,51.04974365234375,2.760583639144897,29.390380859375,2.3545429706573486,0.0251889154314994,695.214111328125,9.999999747378752e-05,2.759999990463257,False
08HA067,3.5209999084472656,0.0472,0.5746,1.409,4.781,13.727893,5.5000515,869.53265,1.9930818,0.70600736,244.86748,43200.168,VCI,2.7,-123.572541233616,48.6290494337286,-1052.0,0.0,0.8,0.18,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.69,0.28,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.85,0.1,0.03,0.0,0.0,0.02,0.0,0.0,0.0,7.8385425,8.76603433099857,228.96844,2,13.606781959533691,2.3229780197143555,9.16905403137207,2.215834140777588,14.947166442871094,0.6884440183639526,8.335270881652832,0.5595184564590454,3.438395500183105,297.9942626953125,0.0120000001043081,1.0399999618530271,False
08HA068,7.409999847412109,0.0415,0.5117,1.423,4.483,12.206395,4.156193,856.03534,1.853524,3.463625,227.56892,43200.168,VCI,2.3,-124.103360987541,48.5654970899349,-1410.0,1.0,0.98,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.01,0.0,0.0,0.0,0.0,0.0,-0.01,24.282722,351.4053259052,568.18152,26,67.4011459350586,3.130064010620117,26.01095962524414,3.258517980575561,144.20632934570312,1.517404317855835,70.4810562133789,1.2436407804489136,0.3468127846717834,2888.95068359375,0.0010000000474974,8.329999923706055,True
08HA069,8.041000366210938,0.0418,0.4993,1.35,4.302,12.122745,3.6306157,836.27484,1.8909652,6.448936,235.51389,43200.168,VCI,10.2,-124.308279662803,48.6500061588522,-1419.57,3.93602,0.83,0.1,0.06,0.01,0.01,0.0,0.0,0.0,-0.01,0.76,0.12,0.1,0.01,0.01,0.0,0.0,0.0,0.0,0.65,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,22.934967,99.9849727254637,609.09222,23,191.33694458007807,4.054647445678711,61.94581604003906,4.126260280609131,402.1888732910156,1.6084351539611816,212.0802459716797,1.3014297485351562,1.1083743572235107,8374.384765625,0.0089999996125698,68.0,True
08HA070,8.187999725341797,0.0443,0.507,1.416,4.361,12.515522,3.071044,810.83624,1.9974722,20.551138,244.62292,43200.168,VCI,27.9,-124.26021449447,48.7314166141636,-1294.47,8.63241,0.97,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.15,0.05,0.01,0.01,0.0,0.0,0.0,-0.01,0.67,0.13,0.19,0.0,0.0,0.0,0.0,0.0,0.01,22.697906,120.317281355634,605.16937,23,102.29703521728516,3.5882010459899902,44.95584487915039,3.805680751800537,191.28419494628903,1.5419538021087646,102.98678588867188,1.26519513130188,0.6422263979911804,3553.652587890625,0.0179999992251396,99.5999984741211,True
08HA072,7.361999988555908,0.0481,0.5211,1.513,4.321,12.351051,0.20848162,679.3828,2.284973,291.9973,287.55392,43200.168,VCI,13.0,-124.247506768911,48.9479173545821,-1419.9,8.43111,0.82,0.14,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.14,0.04,0.0,0.0,0.0,0.0,0.0,0.0099999999999998,0.79,0.19,0.02,0.0,0.0,0.0,0.0,0.0,0.0,30.032904,206.201681886526,924.40631,24,53.540035247802734,3.178961515426636,30.076923370361328,3.4037582874298096,76.4416275024414,1.4179706573486328,46.59324264526367,1.1410173177719116,0.0076923072338104,976.923095703125,9.999999747378752e-05,12.699999809265137,True
08HB014,8.70199966430664,0.0374,0.4617,1.23,3.917,12.646706,3.767908,843.48346,1.9059573,8.718117,236.41254,43200.168,VCI,162.0,-124.869387547114,48.8968840097004,-1155.79,2.36649,0.92,0.04,0.02,0.0,0.0,0.0,0.01,0.0,0.0099999999999998,0.88,0.08,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.8,0.14,0.04,0.0,0.0,0.0,0.01,0.0,0.0099999999999998,22.624048,285.430030234916,411.06125,42,120.19168853759766,3.8125557899475098,47.82418441772461,3.867531538009644,210.1777801513672,1.4592962265014648,121.85137176513672,1.1962227821350098,1.5715421438217163,4172.2900390625,0.2549999952316284,677.0,True
08HB027,4.4079999923706055,0.0382,0.5499,1.341,4.334,12.9828615,3.6769886,815.23724,2.0025806,14.527453,246.70604,43200.168,VCI,54.7,-124.083320617955,49.1913800377444,-1114.91,0.04298,0.7,0.12,0.05,0.01,0.01,0.09,0.03,0.0,-0.01,0.62,0.17,0.07,0.01,0.01,0.09,0.03,0.0,0.0,0.6,0.15,0.11,0.01,0.01,0.09,0.03,0.0,0.0,9.4603662,50.9898921342824,372.38361,0,34.05299377441406,1.8966127634048464,15.791757583618164,2.759488105773926,52.08376693725586,2.54841685295105,34.19334411621094,2.089761257171631,0.0021691974252462,485.9002380371094,9.999999747378752e-05,22.39999961853028,False
08HB032,4.144000053405762,0.0393,0.5522,1.328,4.366,13.164946,4.212967,840.04285,1.9819076,10.130592,243.80508,43200.168,VCI,97.7,-124.058396712154,49.184647651067,-1133.9,0.02408,0.61,0.12,0.07,0.01,0.02,0.14,0.02,0.0,0.0099999999999998,0.56,0.15,0.08,0.01,0.03,0.14,0.02,0.0,0.0099999999999998,0.56,0.13,0.12,0.01,0.03,0.13,0.02,0.0,0.0,9.2853546,42.0725726659627,316.55106,31,26.814268112182617,1.734451174736023,10.51806640625,2.3530943393707275,44.80739212036133,2.2601406574249268,28.013595581054688,1.9099022150039675,0.0010311829391866,561.9947509765625,9.999999747378752e-05,54.5,True
08HB037,6.49399995803833,0.0392,0.5235,1.364,4.178,11.90902,1.2221177,719.5428,2.1193068,208.36327,259.7219,43200.17,VCI,43.8,-124.863797797619,49.4191546579286,-1165.49,4.71462,0.9,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.84,0.11,0.04,0.0,0.0,0.0,0.0,0.0,0.01,0.86,0.09,0.04,0.0,0.0,0.0,0.0,0.0,0.01,25.646683,56.3989006388027,744.99133,0,63.50605773925781,2.7284820079803467,37.18244934082031,3.6158368587493896,109.722900390625,2.954422950744629,55.80530548095703,1.9159351587295528,0.0023094688076525,1681.2933349609375,9.999999747378752e-05,72.80000305175781,False
08HB043,6.527999877929688,0.0407,0.5212,1.378,4.23,12.458678,2.1200325,759.88135,2.1086838,180.20392,258.97772,43200.17,VCI,8.4,-124.938766565215,49.3964002378412,-1267.06,9.39565,0.85,0.07,0.03,0.01,0.04,0.0,0.0,0.0,0.0,0.83,0.09,0.04,0.01,0.04,0.0,0.0,0.0,-0.01,0.79,0.13,0.04,0.01,0.03,0.0,0.0,0.0,0.0,22.152271,227.478299985496,507.19312,4,70.2975082397461,4.062483787536621,58.68421173095703,4.072170734405518,47.58320236206055,0.6052399277687073,35.202850341796875,0.5045710206031799,16.75438690185547,348.2456359863281,0.1909999996423721,3.9700000286102295,False
08HB045,3.95199990272522,0.0496,0.5573,1.335,4.192,14.117914,5.6047435,905.4781,1.998708,0.22590849,241.54527,43200.17,VCI,6.5,-124.751266093317,49.5088648128406,-1520.0,19.0,0.74,0.09,0.11,0.02,0.01,0.01,0.01,0.0,0.01,0.74,0.09,0.11,0.02,0.01,0.01,0.01,0.0,0.01,0.78,0.12,0.07,0.01,0.01,0.0,0.01,0.0,0.0,5.7092614,59.245840896465,53.080036,0,35.40544509887695,0.769495964050293,3.560831069946289,1.269994020462036,72.49429321289062,3.2102274894714355,43.875,2.8770315647125244,0.0296735893934965,821.95849609375,9.999999747378752e-05,2.7699999809265137,False
08HB047,3.50600004196167,0.0364,0.5403,1.275,4.269,13.511622,5.7449694,928.69525,1.9036027,0.22520965,238.72836,43200.176,08G,1.7,-124.274486766803,49.47705100599,-1052.0,0.0,0.88,0.02,0.03,0.01,0.0,0.01,0.05,0.0,0.0,0.88,0.03,0.03,0.01,0.0,0.0,0.05,0.0,0.0,0.84,0.04,0.06,0.01,0.01,0.01,0.04,0.0,-0.01,12.870087,46.7784075598434,146.07307,0,13.880204200744627,0.469741940498352,3.225806474685669,1.1711829900741575,22.49609375,2.72859263420105,15.6903076171875,2.4894859790802,0.0537634380161762,185.4838714599609,9.999999747378752e-05,0.3449999988079071,False
08HB048,8.432000160217285,0.0385,0.4677,1.226,3.943,12.90141,4.466444,879.75,1.8720839,4.0593357,232.93274,43200.168,VCI,10.2,-124.956086470541,48.9236618987179,-1305.4,6.23008,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.12,0.01,0.0,0.0,0.0,0.0,0.0,-0.01,22.822531,303.369629949546,324.155,43,78.15116882324219,3.139742612838745,22.654003143310547,3.120336532592773,154.28773498535156,1.6346746683120728,87.40896606445312,1.3422863483428955,0.1936239600181579,2391.255859375,0.0020000000949949,24.700000762939453,True
